ID,fk_site,fk_batch,TypeOfContent,SiteName,SourceURL,Inheritance,UserGroup,Principaltype,Accountname,ContentPermissions
0,0,0,Site,TDM US Test Client02 - WT-SUT 042720,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37,Custom,SharePoint Group,QIP Contribute,QIP Contribute,QIP Contribute Permission;
0,0,0,List/Library,Approval Steps,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,Engagement Home Visitors,Engagement Home Visitors,Read;
0,0,0,List/Library,Approval Steps,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,Engagement Home Members,Engagement Home Members,Read;
0,0,0,List/Library,Approval Steps,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,Tax File Administrators,Tax File Administrators,Tax File Administrator;
0,0,0,List/Library,Approval Steps,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,(Internal) Team Members,(Internal) Team Members,Read;
0,0,0,List/Library,Approval Steps,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,(Internal) Team Member Restricted,(Internal) Team Member Restricted,Read;
0,0,0,List/Library,Approval Steps,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,Tax Engagement Owners,Tax Engagement Owners,Tax Engagement Owner;
0,0,0,List/Library,Approval Steps,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,Tax Quality,Tax Quality,Read;
0,0,0,List/Library,Approval Steps,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalStepslist,Custom,SharePoint Group,(Internal) EY Visitor,(Internal) EY Visitor,Read;
0,0,0,List/Library,Approval Workflows,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalWorkflowslist,Custom,SharePoint Group,Engagement Home Visitors,Engagement Home Visitors,Read;
0,0,0,List/Library,Approval Workflows,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalWorkflowslist,Custom,SharePoint Group,Engagement Home Members,Engagement Home Members,Read;
0,0,0,List/Library,Approval Workflows,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalWorkflowslist,Custom,SharePoint Group,Tax File Administrators,Tax File Administrators,Tax File Administrator;
0,0,0,List/Library,Approval Workflows,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalWorkflowslist,Custom,SharePoint Group,(Internal) Team Members,(Internal) Team Members,Read;
0,0,0,List/Library,Approval Workflows,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalWorkflowslist,Custom,SharePoint Group,(Internal) Team Member Restricted,(Internal) Team Member Restricted,Read;
0,0,0,List/Library,Approval Workflows,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalWorkflowslist,Custom,SharePoint Group,Tax Engagement Owners,Tax Engagement Owners,Tax Engagement Owner;
0,0,0,List/Library,Approval Workflows,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalWorkflowslist,Custom,SharePoint Group,Tax Quality,Tax Quality,Read;
0,0,0,List/Library,Approval Workflows,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSApprovalWorkflowslist,Custom,SharePoint Group,(Internal) EY Visitor,(Internal) EY Visitor,Read;
0,0,0,List/Library,Document Copy Audit,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/DocumentCopyAudit,Custom,SharePoint Group,Tax File Administrators,Tax File Administrators,Add Only;
0,0,0,List/Library,Document Copy Audit,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/DocumentCopyAudit,Custom,SharePoint Group,(Internal) Team Members,(Internal) Team Members,Add Only;
0,0,0,List/Library,Document Copy Audit,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/DocumentCopyAudit,Custom,SharePoint Group,(Internal) Team Member Restricted,(Internal) Team Member Restricted,Add Only;
0,0,0,List/Library,Document Copy Audit,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/DocumentCopyAudit,Custom,SharePoint Group,Tax Engagement Owners,Tax Engagement Owners,Add Only;
0,0,0,List/Library,Document Copy Audit,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/DocumentCopyAudit,Custom,SharePoint Group,(Internal) EY Visitor,(Internal) EY Visitor,Read;
0,0,0,List/Library,Engagement Library Status,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EngagementLibraryStatus,Custom,SharePoint Group,Tax File Administrators,Tax File Administrators,Add Only;
0,0,0,List/Library,Engagement Library Status,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EngagementLibraryStatus,Custom,SharePoint Group,(Internal) Team Members,(Internal) Team Members,Add Only;
0,0,0,List/Library,Engagement Library Status,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EngagementLibraryStatus,Custom,SharePoint Group,(Internal) Team Member Restricted,(Internal) Team Member Restricted,Add Only;
0,0,0,List/Library,Engagement Library Status,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EngagementLibraryStatus,Custom,SharePoint Group,Tax Engagement Owners,Tax Engagement Owners,Add Only;
0,0,0,List/Library,Engagement Library Status,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EngagementLibraryStatus,Custom,SharePoint Group,(Internal) EY Visitor,(Internal) EY Visitor,Read;
0,0,0,List/Library,Engagement Library Status,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EngagementLibraryStatus,Custom,SharePoint Group,QIP Contribute,QIP Contribute,Read;
0,0,0,List/Library,EYI My Docs Workflow Mapping,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSWorkflowMapping,Custom,SharePoint Group,Engagement Home Visitors,Engagement Home Visitors,Read;
0,0,0,List/Library,EYI My Docs Workflow Mapping,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSWorkflowMapping,Custom,SharePoint Group,Engagement Home Members,Engagement Home Members,Read;
0,0,0,List/Library,EYI My Docs Workflow Mapping,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSWorkflowMapping,Custom,SharePoint Group,Tax File Administrators,Tax File Administrators,Tax File Administrator;
0,0,0,List/Library,EYI My Docs Workflow Mapping,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSWorkflowMapping,Custom,SharePoint Group,(Internal) Team Members,(Internal) Team Members,Read;
0,0,0,List/Library,EYI My Docs Workflow Mapping,https://us.eyonespace.ey.com/Sites/8a7dc0780c504083b0021344954f7f37/Lists/EYOSWorkflowMapping,Custom,SharePoint Group,(Internal) Team Member Restricted,(Internal) Team Member Restricted,Read;
